count,create_date,location,weatherstation,temp,precip,canonical_location
52,2013-01-24,Boston,KBOS,12.074999999999999,0.0,Boston
303,2013-01-24,San Francisco,KSFO,52.496296296300002,0.0,San Francisco
80,2013-01-24,NYC,KNYC,17.041666666699999,0.0,New York
32,2013-01-24,Vancouver,CWHC,42.25,0.0,Vancouver
9,2013-01-24,Kansas City,KMKC,21.338461538499999,0.0,Kansas City
12,2013-01-24,Cambridge,KBOS,12.074999999999999,0.0,Boston
145,2013-01-24,New York,KNYC,17.041666666699999,0.0,New York
10,2013-01-24,Austin,KATT,67.340740740699999,0.0,Austin
20,2013-01-24,Atlanta,KFTY,47.395833333299997,0.0,Atlanta
9,2013-01-24,Minneapolis,KMIC,1.42916666667,0.0,Minneapolis
13,2013-01-24,Bay Area,KNGP,69.835999999999999,0.0,Bay Area
50,2013-01-24,Montreal,CWTA,-5.2285714285699996,0.0,Montreal
74,2013-01-24,Los Angeles,KCQT,58.867647058800003,1.1699999999999999,Los Angeles
66,2013-01-24,Chicago,KMDW,14.8269230769,0.0,Chicago
19,2013-01-24,Pittsburgh,KAGC,15.8677419355,0.0,Pittsburgh
11,2013-01-24,Denver,KAPA,47.162500000000001,0.0,Denver
6,2013-01-24,Santa Monica,KSMO,58.494117647099998,1.49,Santa Monica
11,2013-01-24,Portland OR,KPDX,37.9666666667,0.38,Portland
64,2013-01-24,Seattle,KBFI,43.119999999999997,0.16,Seattle
5,2013-01-24,Miami,KMIA,67.087500000000006,0.0,Miami
4,2013-01-24,Redmond,KBFI,43.119999999999997,0.16,Seattle
24,2013-01-24,San Diego,KSAN,64.233333333299996,0.0,San Diego
12,2013-01-24,SF,KSFO,52.496296296300002,0.0,San Francisco
8,2013-01-24,SF Bay Area,KSFO,52.496296296300002,0.0,San Francisco
7,2013-01-24,Salt Lake City,KSLC,25.853658536600001,0.12,Salt Lake City
12,2013-01-24,Waterloo,KALO,8.8499999999999996,0.0,Waterloo
8,2013-01-24,Boston MA,KBOS,12.074999999999999,0.0,Boston
7,2013-01-24,Oklahoma City,KOKC,38.837037037000002,0.0,Oklahoma City
18,2013-01-24,Montr\\xc3\\xa9al,CWTA,-5.2285714285699996,0.0,Montreal
6,2013-01-24,Washington,KDCA,21.756862745100001,0.059999999999999998,Washington DC
6,2013-01-24,Dallas,KDAL,64.125,0.0,Dallas
6,2013-01-24,San Jose,KSJC,52.102222222199998,0.56999999999999995,San Jose
19,2013-01-24,Washington DC,KDCA,21.756862745100001,0.059999999999999998,Washington DC
82,2013-01-24,New York City,KNYC,17.041666666699999,0.0,New York
20,2013-01-24,Brooklyn,KNYC,17.041666666699999,0.0,New York
3,2013-01-24,Baltimore,KBWI,19.1769230769,0.13,Baltimore
27,2013-01-24,Philadelphia,KPHL,21.475000000000001,0.0,Philadelphia
149,2012-09-15,San Francisco,KSFO,56.210000000000001,0.0,San Francisco
57,2012-09-15,New York,KNYC,66.495652173899998,0.01,New York
11,2012-09-15,San Diego,KSAN,83.454166666700004,0.0,San Diego
28,2012-09-15,NYC,KNYC,66.495652173899998,0.01,New York
34,2012-09-15,New York City,KNYC,66.495652173899998,0.01,New York
8,2012-09-15,Austin,KATT,70.427272727299993,0.0,Austin
7,2012-09-15,Atlanta,KFTY,73.9375,0.0,Atlanta
2,2012-09-15,Minneapolis,KMIC,67.004347826100002,0.0,Minneapolis
205,2012-09-18,San Francisco,KSFO,57.555172413800001,0.0,San Francisco
5,2012-09-18,Edmonton,CXEC,58.100000000000001,0.0,Edmonton
50,2012-09-18,Los Angeles,KCQT,70.704166666700004,0.0,Los Angeles
17,2012-09-18,Atlanta,KFTY,71.5625,2.8399999999999999,Atlanta
22,2012-09-18,Vancouver,CWHC,61.0,0.0,Vancouver
52,2012-09-18,Seattle,KBFI,66.625,0.0,Seattle
18,2012-09-18,Philadelphia,KPHL,72.893846153799998,2.5499999999999998,Philadelphia
4,2012-09-18,Portland OR,KPDX,68.679166666699999,0.0,Portland
3,2012-09-18,Dallas,KDAL,72.162962962999998,0.0,Dallas
8,2012-09-18,San Jose,KSJC,59.683999999999997,0.0,San Jose
7,2012-09-18,Denver,KAPA,59.920833333300003,0.0,Denver
28,2012-09-18,San Diego,KSAN,72.014814814800005,0.0,San Diego
17,2012-09-18,SF,KSFO,57.555172413800001,0.0,San Francisco
9,2012-09-21,Pittsburgh,KAGC,67.575000000000003,0.0,Pittsburgh
177,2012-09-21,San Francisco,KSFO,59.116666666699999,0.0,San Francisco
54,2012-09-21,Chicago,KMDW,55.9384615385,0.14000000000000001,Chicago
39,2012-09-21,New York City,KNYC,64.493103448300005,0.0,New York
